"offense","offender_gender","victim_agegroup","offender_agegroup","count"
"0","M","0","11","209"
"0","M","0","12","145"
"0","M","0","13","81"
"0","M","0","14","34"
"0","M","0","15","10"
"0","M","0","16","9"
"0","M","0","17","2"
"0","M","1","0","27"
"0","M","1","1","546"
"0","M","1","2","2315"
"0","M","1","3","1339"
"0","M","1","4","951"
"0","M","1","5","1935"
"0","M","1","6","2189"
"0","M","1","7","1672"
"0","M","1","8","1095"
"0","M","1","9","698"
"0","M","1","10","537"
"0","M","1","11","465"
"0","M","1","12","298"
"0","M","1","13","166"
"0","M","1","14","113"
"0","M","1","15","62"
"0","M","1","16","26"
"0","M","1","17","9"
"0","M","1","18","2"
"0","M","2","0","23"
"0","M","2","1","169"
"0","M","2","2","4800"
"0","M","2","3","7353"
"0","M","2","4","2845"
"0","M","2","5","2189"
"0","M","2","6","3622"
"0","M","2","7","3757"
"0","M","2","8","2672"
"0","M","2","9","1773"
"0","M","2","10","1242"
"0","M","2","11","970"
"0","M","2","12","571"
"0","M","2","13","341"
"0","M","2","14","216"
"0","M","2","15","83"
"0","M","2","16","40"
"0","M","2","17","16"
"0","M","2","18","1"
"0","M","2","19","2"
"0","M","3","0","24"
"0","M","3","1","34"
"0","M","3","2","1538"
"0","M","3","3","23585"
"0","M","3","4","20634"
"0","M","3","5","6984"
"0","M","3","6","4396"
"0","M","3","7","4724"
"0","M","3","8","4069"
"0","M","3","9","2766"
"0","M","3","10","1931"
"0","M","3","11","1352"
"0","M","3","12","776"
"0","M","3","13","370"
"0","M","3","14","238"
"0","M","3","15","108"
"0","M","3","16","55"
"0","M","3","17","29"
"0","M","3","18","1"
"0","M","3","19","5"
"0","M","4","0","18"
"0","M","4","1","37"
"0","M","4","2","524"
"0","M","4","3","7167"
"0","M","4","4","46624"
"0","M","4","5","33505"
"0","M","4","6","13224"
"0","M","4","7","6376"
"0","M","4","8","3856"
"0","M","4","9","2594"
"0","M","4","10","1969"
"0","M","4","11","1436"
"0","M","4","12","807"
"0","M","4","13","386"
"0","M","4","14","185"
"0","M","4","15","95"
"0","M","4","16","40"
"0","M","4","17","34"
"0","M","4","18","8"
"0","M","4","19","3"
"0","M","5","0","24"
"0","M","5","1","80"
"0","M","5","2","727"
"0","M","5","3","2588"
"0","M","5","4","13347"
"0","M","5","5","45408"
"0","M","5","6","31571"
"0","M","5","7","13922"
"0","M","5","8","6491"
"0","M","5","9","3542"
"0","M","5","10","2547"
"0","M","5","11","1839"
"0","M","5","12","952"
"0","M","5","13","454"
"0","M","5","14","221"
"0","M","5","15","115"
"0","M","5","16","48"
"0","M","5","17","25"
"0","M","5","18","5"
"0","M","5","19","5"
"0","M","6","0","10"
"0","M","6","1","135"
"0","M","6","2","1921"
"0","M","6","3","2923"
"0","M","6","4","5644"
"0","M","6","5","17368"
"0","M","6","6","36093"
"0","M","6","7","24740"
"0","M","6","8","11431"
"0","M","6","9","5323"
"0","M","6","10","3310"
"0","M","6","11","2350"
"0","M","6","12","1219"
"0","M","6","13","568"
"0","M","6","14","262"
"0","M","6","15","123"
"0","M","6","16","52"
"0","M","6","17","21"
"0","M","6","18","6"
"0","M","6","19","1"
"0","M","7","0","12"
"0","M","7","1","105"
"0","M","7","2","2004"
"0","M","7","3","5304"
"0","M","7","4","3968"
"0","M","7","5","7627"
"0","M","7","6","15094"
"0","M","7","7","25207"
"0","M","7","8","16794"
"0","M","7","9","7662"
"0","M","7","10","3999"
"0","M","7","11","2775"
"0","M","7","12","1495"
"0","M","7","13","634"
"0","M","7","14","292"
"0","M","7","15","119"
"0","M","7","16","56"
"0","M","7","17","16"
"0","M","7","18","5"
"0","M","7","19","2"
"0","M","8","0","10"
"0","M","8","1","89"
"0","M","8","2","1340"
"0","M","8","3","4047"
"0","M","8","4","4276"
"0","M","8","5","4403"
"0","M","8","6","6557"
"0","M","8","7","10715"
"0","M","8","8","15231"
"0","M","8","9","10379"
"0","M","8","10","5304"
"0","M","8","11","3107"
"0","M","8","12","1497"
"0","M","8","13","631"
"0","M","8","14","275"
"0","M","8","15","119"
"0","M","8","16","48"
"0","M","8","17","17"
"0","M","8","18","8"
"0","M","8","19","1"
"0","M","9","0","7"
"0","M","9","1","78"
"0","M","9","2","987"
"0","M","9","3","2662"
"0","M","9","4","3127"
"0","M","9","5","3876"
"0","M","9","6","3536"
"0","M","9","7","4600"
"0","M","9","8","6740"
"0","M","9","9","9738"
"0","M","9","10","7354"
"0","M","9","11","3893"
"0","M","9","12","1779"
"0","M","9","13","699"
"0","M","9","14","314"
"0","M","9","15","120"
"0","M","9","16","62"
"0","M","9","17","22"
"0","M","9","18","3"
"0","M","9","19","2"
"0","M","10","0","3"
"0","M","10","1","56"
"0","M","10","2","718"
"0","M","10","3","1861"
"0","M","10","4","2162"
"0","M","10","5","2880"
"0","M","10","6","3023"
"0","M","10","7","2589"
"0","M","10","8","2690"
"0","M","10","9","4479"
"0","M","10","10","7271"
"0","M","10","11","5323"
"0","M","10","12","2394"
"0","M","10","13","825"
"0","M","10","14","320"
"0","M","10","15","153"
"0","M","10","16","66"
"0","M","10","17","30"
"0","M","10","18","6"
"0","M","11","0","2"
"0","M","11","1","54"
"0","M","11","2","567"
"0","M","11","3","1295"
"0","M","11","4","1556"
"0","M","11","5","2161"
"0","M","11","6","2502"
"0","M","11","7","2223"
"0","M","11","8","1500"
"0","M","11","9","1814"
"0","M","11","10","3158"
"0","M","11","11","4954"
"0","M","11","12","3019"
"0","M","11","13","1071"
"0","M","11","14","409"
"0","M","11","15","169"
"0","M","11","16","81"
"0","M","11","17","32"
"0","M","11","18","8"
"0","M","11","19","4"
"0","M","12","1","39"
"0","M","12","2","389"
"0","M","12","3","812"
"0","M","12","4","969"
"0","M","12","5","1262"
"0","M","12","6","1521"
"0","M","12","7","1562"
"0","M","12","8","1185"
"0","M","12","9","807"
"0","M","12","10","1185"
"0","M","12","11","1902"
"0","M","12","12","2308"
"0","M","12","13","1074"
"0","M","12","14","405"
"0","M","12","15","137"
"0","M","12","16","78"
"0","M","12","17","41"
"0","M","12","18","8"
"0","M","12","19","1"
"0","M","13","0","1"
"0","M","13","1","29"
"0","M","13","2","182"
"0","M","13","3","425"
"0","M","13","4","498"
"0","M","13","5","686"
"0","M","13","6","716"
"0","M","13","7","788"
"0","M","13","8","779"
"0","M","13","9","665"
"0","M","13","10","494"
"0","M","13","11","685"
"0","M","13","12","723"
"0","M","13","13","868"
"0","M","13","14","450"
"0","M","13","15","154"
"0","M","13","16","51"
"0","M","13","17","26"
"0","M","13","18","13"
"0","M","13","19","2"
"0","M","14","0","3"
"0","M","14","1","17"
"0","M","14","2","132"
"0","M","14","3","244"
"0","M","14","4","346"
"0","M","14","5","363"
"0","M","14","6","389"
"0","M","14","7","383"
"0","M","14","8","404"
"0","M","14","9","442"
"0","M","14","10","450"
"0","M","14","11","293"
"0","M","14","12","270"
"0","M","14","13","287"
"0","M","14","14","427"
"0","M","14","15","239"
"0","M","14","16","100"
"0","M","14","17","21"
"0","M","14","18","11"
"0","M","14","19","1"
"0","M","15","0","2"
"0","M","15","1","2"
"0","M","15","2","44"
"0","M","15","3","106"
"0","M","15","4","160"
"0","M","15","5","186"
"0","M","15","6","185"
"0","M","15","7","158"
"0","M","15","8","170"
"0","M","15","9","196"
"0","M","15","10","288"
"0","M","15","11","300"
"0","M","15","12","130"
"0","M","15","13","100"
"0","M","15","14","115"
"0","M","15","15","231"
"0","M","15","16","158"
"0","M","15","17","55"
"0","M","15","18","8"
"0","M","15","19","3"
"0","M","16","1","1"
"0","M","16","2","22"
"0","M","16","3","59"
"0","M","16","4","82"
"0","M","16","5","82"
"0","M","16","6","91"
"0","M","16","7","94"
"0","M","16","8","69"
"0","M","16","9","61"
"0","M","16","10","123"
"0","M","16","11","177"
"0","M","16","12","112"
"0","M","16","13","32"
"0","M","16","14","41"
"0","M","16","15","60"
"0","M","16","16","118"
"0","M","16","17","85"
"0","M","16","18","18"
"0","M","16","19","2"
"0","M","17","2","3"
"0","M","17","3","20"
"0","M","17","4","38"
"0","M","17","5","49"
"0","M","17","6","39"
"0","M","17","7","45"
"0","M","17","8","34"
"0","M","17","9","44"
"0","M","17","10","52"
"0","M","17","11","75"
